UMPD Case Number,Date Occurred,Report Date,Crime Type,Disposition,LOCATION
2024-00000014,2024-01-01 00:18:00,2024-01-01 00:18:00,Recovered Stolen Property,Arrest,8700 block of Baltimore Ave
2024-00000081,2024-01-01 02:43:00,2024-01-01 02:43:00,Injured/Sick Person,CBE,Knox Rd
2024-00000092,2024-01-01 02:45:00,2024-01-01 02:56:00,Injured/Sick Person,CBE,Knox Rd
2024-00000096,2024-01-01 03:09:00,2024-01-01 03:09:00,DWI/DUI,Arrest,University Blvd
2024-00000463,2023-12-20 14:00:00,2024-01-01 16:15:00,Assist Other Agency,Active/Pending,4800 block of College Ave
2024-00001645,2023-12-01 07:00:00,2024-01-03 11:58:00,Vandalism,Investigation Pending,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
2024-00002359,2024-01-04 13:15:00,2024-01-04 13:19:00,Burglary,Investigation Pending,8200 block of Paint Branch Dr
2024-00003057,2024-02-13 17:15:00,2024-01-05 14:45:00,Emergency Petition,CBE,4200 block of Farm Dr
2024-00003113,2024-01-05 17:30:00,2024-01-05 17:34:00,Vandalism,Investigation Pending,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
2024-00003446,2024-01-06 01:01:00,2024-01-06 01:01:00,DWI/DUI,Arrest,Baltimore Ave
2024-00004159,2024-01-07 01:23:00,2024-01-07 01:23:00,DWI/DUI,Arrest,Greenbelt Rd
2024-00004180,2024-01-07 02:19:00,2024-01-07 02:19:00,DWI/DUI,Arrest,University Blvd
2024-00004463,2024-01-07 12:13:00,2024-01-07 12:13:00,Recovered Stolen Motor Vehicle,Arrest,3800 block of Campus Dr
2024-00005720,2024-01-09 00:09:00,2024-01-09 00:09:00,Injured/Sick Person,CBE,"Pyon Chen, Pyon-Chen Hall at 8097 La Plata Dr"
2024-00005947,2024-01-08 11:20:00,2024-01-09 09:31:00,Suspicious Activity,Active/Pending,4200 block of Stadium Dr
2024-00006072,2024-01-09 13:24:00,2024-01-09 13:24:00,Injured/Sick Person,Active/Pending,"39, Van Munching, Van Munching Hall at 7699 Mowatt Ln"
2024-00006752,2023-11-01 00:00:00,2024-01-10 12:41:00,Vandalism,Arrest,"Brendan Iribe Center, Iribe Center at 8125 Paint Branch Dr"
2024-00006875,2024-01-08 18:00:00,2024-01-10 17:01:00,Other Incident,CBE,4100 block of Campus Dr
2024-00006888,2023-08-20 08:00:00,2024-01-10 17:29:00,Vandalism,Arrest,"84, Kirwan Hall, Mathematics Building, William E. Kirwan Hall at 4176 Campus Dr"
2024-00006935,2024-01-10 19:41:00,2024-01-10 19:41:00,Injured/Sick Person,CBE,7500 block of Baltimore Ave
2024-00007054,2024-01-10 23:01:00,2024-01-10 23:11:00,Other Incident,CBE,Baltimore Ave
2024-00007368,2024-01-10 12:30:00,2024-01-11 09:37:00,Theft,Arrest,"Club House, Golf Course Club House at 3800 Golf Course Rd"
2024-00007675,2024-01-11 20:08:00,2024-01-11 20:30:00,Fire,CBE,8500 block of Paint Branch Dr
2024-00007707,2024-01-11 19:00:00,2024-01-11 22:00:00,Theft,Investigation Pending,8500 block of Paint Branch Dr
2024-00008210,2024-01-12 12:00:00,2024-01-12 12:01:00,Injured/Sick Person,CBE,"HHP, PERH, Public Health, School of Public Health Building, SPH at 4200 Valley Dr"
2024-00008592,2024-01-13 02:06:00,2024-01-13 02:06:00,DWI/DUI,Arrest,Baltimore Ave
2024-00008618,2024-01-13 03:25:00,2024-01-13 03:25:00,Recovered Stolen Property,CBE,"7-11 Berwyn, 7-Eleven Berwyn at 8600 Baltimore Ave"
2024-00008889,2023-11-03 17:00:00,2024-01-13 13:04:00,Sex Offense,CBE,"Easton, Easton Hall at 3917 Denton Service Ln"
2024-00008898,2024-01-13 02:30:00,2024-01-13 14:34:00,Other Incident,CBE,6800 block of Preinkert Dr
2024-00008918,2023-11-29 10:00:00,2024-01-13 17:17:00,Assist Other Agency,CBE,8200 block of Baltimore Ave
2024-00009206,2024-01-14 00:10:00,2024-01-14 00:10:00,Warrant/Summons Service,Arrest,Baltimore Ave
2024-00009248,2024-01-14 01:44:00,2024-01-14 01:44:00,DWI/DUI,Arrest,Campus Dr
2024-00010244,2023-12-08 08:57:00,2024-01-15 08:08:00,Vandalism,Arrest,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056 Regents Dr"
2024-00010468,2023-12-08 00:00:00,2024-01-15 11:10:00,Vandalism,Arrest,"PG3, SDG, Stadium Drive Parking Garage at 4025 Stadium Dr"
2024-00010608,2023-11-08 00:00:00,2024-01-15 13:59:00,Vandalism,Arrest,"DOTS Impound Lot, Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155 Terrapin Trl"
2024-00010824,2023-11-27 13:23:00,2024-01-15 22:00:00,Lost Property,CBE,4300 block of Rowalt Dr
2024-00011146,2024-01-16 08:00:00,2024-01-16 08:41:00,Vandalism,Arrest,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
2024-00011165,2024-01-16 09:23:00,2024-01-16 09:27:00,Vandalism,Arrest,"Lot HH, PG1, ULG, Union Lane Garage, Union Lane Parking Garage at 4170 Union Ln"
2024-00011580,2024-01-14 00:24:00,2024-01-16 22:15:00,Assist Other Agency,Active/Pending,"Terrapin Row #1, Terrapin Row 1, TR1 at 4207 Knox Rd"
2024-00011602,2024-01-16 23:32:00,2024-01-16 23:32:00,Vandalism,Arrest,"PG3, SDG, Stadium Drive Parking Garage at 4025 Stadium Dr"
2024-00012050,2024-01-17 15:03:00,2024-01-17 15:02:00,Damage to State Property,CBE,4200 block of Landscape Ln
2024-00012202,2024-01-17 11:30:00,2024-01-17 17:47:00,Theft,Investigation Pending,7600 block of Mowatt Ln
2024-00012391,2024-01-18 00:00:00,2024-01-18 00:00:00,Vandalism,Arrest,
2024-00012743,2024-01-18 09:30:00,2024-01-18 09:35:00,Injured/Sick Person,CBE,3400 block of Tulane Dr
2024-00012752,2024-01-18 09:54:00,2024-01-18 09:54:00,Injured/Sick Person,CBE,Health Center at 3983 Campus Dr
2024-00013139,2024-01-19 00:36:00,2024-01-19 00:36:00,DWI/DUI,Arrest,"84, Kirwan Hall, Mathematics Building, William E. Kirwan Hall at 4176 Campus Dr"
2024-00014126,2024-01-20 00:21:00,2024-01-20 00:21:00,Fire,CBE,Graduate Hills Apartment #290 at 3425 Tulane Dr
2024-00014907,2024-01-21 02:35:00,2024-01-21 02:35:00,DWI/DUI,Arrest,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
2024-00015660,2024-01-22 05:07:00,2024-01-22 05:07:00,Other Incident,CBE,"38, Lefrak, Lefrak Hall at 7251 Preinkert Dr"
2024-00015924,2024-01-19 17:00:00,2024-01-22 12:43:00,Extortion,Active/Pending,5800 block of University Research Ct
2024-00015934,2024-01-22 13:47:00,2024-01-22 13:47:00,Injured/Sick Person,CBE,Campus Dr
2024-00015935,2024-01-13 12:00:00,2024-01-22 13:52:00,Fraud,Investigation Pending,"52, Clarence M. Mitchell, Jr. Building, Mitchell Building, North Administration at 7999 Regents Dr"
2024-00016010,2024-01-22 17:04:00,2024-01-22 17:04:00,Other Incident,CBE,"26, South Campus Dining Hall at 7093 Preinkert Dr"
2024-00016091,2024-01-22 16:00:00,2024-01-22 19:29:00,Theft,Investigation Pending,8100 block of Regents Dr
2024-00016375,2024-01-16 12:00:00,2024-01-23 04:16:00,Vandalism,Arrest,"DOTS Impound Lot, Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155 Terrapin Trl"
2024-00016500,2024-01-22 13:05:00,2024-01-23 09:06:00,Other Incident,CBE,Stadium Dr
2024-00016523,2023-09-01 08:00:00,2024-01-23 10:41:00,Other Incident,CBE,3900 block of Denton Service Ln
2024-00016637,2024-01-22 00:00:00,2024-01-23 16:27:00,Damage to State Property,CBE,"Cole, Cole Field House, Cole Student Activities Building, Driskell Center at 4090 Union Dr"
2024-00016682,2023-12-23 08:00:00,2024-01-23 17:30:00,Assist Other Agency,CBE,4200 block of Knox Rd
2024-00016806,2024-01-20 12:00:00,2024-01-23 22:01:00,Dept Property Damage/Loss,Active/Pending,Paint Branch Dr
2024-00016866,2024-01-23 23:38:00,2024-01-23 23:38:00,Other Incident,CBE,"Hornbake, Hornbake Library at 4130 Campus Dr"
2024-00016887,2024-01-24 00:36:00,2024-01-24 00:36:00,Suspicious Person/Auto,Active/Pending,4100 block of Campus Dr
2024-00016888,2024-01-24 00:40:00,2024-01-24 00:40:00,DWI/DUI,Arrest,Baltimore Ave
2024-00016977,2024-01-23 12:40:00,2024-01-24 07:17:00,Damage to State Property,CBE,"Bioscience, Bioscience Research Building at 4066 Campus Dr"
2024-00017109,2024-01-24 09:20:00,2024-01-24 13:00:00,Theft,CBE,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
2024-00017143,2024-01-24 14:33:00,2024-01-24 15:07:00,Indecent Exposure,Arrest,"62, St Marys Hall, St. Mary's, St. Mary's Hall at 3949 Campus Dr"
2024-00017193,2024-01-24 17:33:00,2024-01-24 17:33:00,Vandalism,Arrest,"Bioscience, Bioscience Research Building at 4066 Campus Dr"
2024-00017287,2024-01-24 14:25:00,2024-01-24 21:15:00,Indecent Exposure,Arrest,"Elkton, Elkton Hall at 3981 Denton Service Ln"
2024-00017389,2024-01-25 01:16:00,2024-01-25 01:16:00,Injured/Sick Person,CBE,La Plata Hall at 8160 La Plata Dr
2024-00017448,2024-01-25 03:19:00,2024-01-25 03:19:00,DWI/DUI,Arrest,3500 block of University Blvd
2024-00017553,2024-01-25 08:32:00,2024-01-25 08:32:00,Injured/Sick Person,CBE,"Commons 3, SCC 3, South Campus Commons 3 at 4318 Knox Rd"
2024-00017579,2024-01-25 10:02:00,2024-01-25 10:04:00,Injured/Sick Person,CBE,4100 block of Campus Dr
2024-00017611,2024-01-24 22:00:00,2024-01-25 10:43:00,Theft,Investigation Pending,Hagerstown Hall at 8075 Hagerstown Dr
2024-00017696,2024-01-25 14:53:00,2024-01-25 14:53:00,Injured/Sick Person,CBE,3400 block of Tulane Dr
2024-00017734,2024-01-25 12:00:00,2024-01-25 17:24:00,Other Service Call,CBE,4200 block of Fieldhouse Dr
2024-00017771,2024-01-25 15:30:00,2024-01-25 18:36:00,Theft,Arrest,"8, Annapolis, Annapolis Hall at 7626 Regents Dr"
2024-00017791,2024-01-25 15:50:00,2024-01-25 18:43:00,Extortion,Investigation Pending,3400 block of Tulane Dr
2024-00017940,2024-01-26 00:13:00,2024-01-26 00:13:00,Injured/Sick Person,CBE,Baltimore Ave
2024-00018000,2024-01-26 01:11:00,2024-01-26 01:11:00,Disorderly Conduct,Arrest,"Delta Phi Epsilon, Delta Phi Epsilon Sorority at 4514 Knox Rd"
2024-00018135,2024-01-25 17:00:00,2024-01-26 04:38:00,Vandalism,Investigation Pending,Lot 11b
2024-00018149,2024-01-26 05:05:00,2024-01-26 05:05:00,Emergency Petition,CBE,"Drazek Circle, UMGC at 346 Ehrensberger Dr"
2024-00018215,2024-01-25 15:00:00,2024-01-26 08:24:00,Theft from Auto,Investigation Pending,Lot 11b
2024-00018338,2024-01-25 16:30:00,2024-01-26 10:10:00,Theft,Arrest,"25, Charles, Charles Hall at 4405 Lehigh Rd"
2024-00018631,2024-01-26 11:59:00,2024-01-26 17:09:00,Fraud,CBE,8100 block of Paint Branch Dr
2024-00018738,2024-01-26 20:40:00,2024-01-26 20:40:00,CDS Violation,CBE,"Elkton, Elkton Hall at 3981 Denton Service Ln"
2024-00018754,2024-01-26 21:09:00,2024-01-26 21:09:00,CDS Violation,CBE,"69, Wicomico, Wicomico Hall at 7218 Preinkert Dr"
2024-00018809,2024-01-26 22:00:00,2024-01-26 23:17:00,Theft,Investigation Pending,Hagerstown Hall at 8075 Hagerstown Dr
2024-00018862,2024-01-27 00:05:00,2024-01-27 00:05:00,Injured/Sick Person,CBE,Adidas Stripe 3 at 7415 Baltimore Ave
2024-00018873,2024-01-27 00:35:00,2024-01-27 00:35:00,Emergency Petition,CBE,"Capital One Field, Football Stadium, SECU Stadium"
2024-00018896,2024-01-27 01:41:00,2024-01-27 01:41:00,Disorderly Conduct,Arrest,4600 block of Rossborough Ln
2024-00019303,2024-01-25 15:45:00,2024-01-27 17:00:00,Theft,Unfounded,"Edward St. John Learning and Teaching Center, ESJ at 4131 Campus Dr"
2024-00019613,2024-01-28 02:48:00,2024-01-28 03:40:00,Assist Other Agency,CBE,909 at 8204 Baltimore Ave
2024-00019899,2023-12-17 00:00:00,2024-01-28 14:00:00,Theft,Investigation Pending,"Easton, Easton Hall at 3917 Denton Service Ln"
2024-00019954,2024-01-28 16:22:00,2024-01-28 16:22:00,Injured/Sick Person,CBE,Yahentamitsi at 4136 Stadium Dr
2024-00020070,2024-01-28 22:06:00,2024-01-28 22:06:00,Other Incident,CBE,Baltimore Ave
2024-00020134,2024-01-28 19:30:00,2024-01-29 00:14:00,Injured/Sick Person,CBE,3900 block of Denton Service Ln
2024-00020144,2024-01-29 00:58:00,2024-01-29 00:58:00,Injured/Sick Person,CBE,7400 block of Princeton Ave
2024-00020405,2024-01-29 09:10:00,2024-01-29 09:13:00,Injured/Sick Person,CBE,4200 block of Lehigh Rd
2024-00020526,2024-01-19 10:26:00,2024-01-29 11:28:00,Assist Other Agency,CBE,8100 block of Baltimore Ave
2024-00020545,2024-01-29 12:10:00,2024-01-29 12:14:00,Injured/Sick Person,CBE,Health Center at 3983 Campus Dr
2024-00020584,2024-01-27 11:50:00,2024-01-29 13:23:00,Accident,CBE,Rossborough Ln
2024-00020653,2024-01-25 12:00:00,2024-01-29 15:58:00,Stolen Motor Vehicle,Investigation Pending,Lot 11b
